Correlation Matrix,Dom Eq,For Eq,Em Mkt,Private Eq,Ab Ret,HY,Comm,Nat Res,RE,Dom Bonds,For Bonds,IF Bonds,Cash,E[Portfolio Real Return],5.50%,,,,,,,,,,,,,
Dom Eq,1,0.85,0.75,0.8,0.6,0.6,0.3,0.1,0.4,0,0,0.15,0,Var[Portfolio Return],0.59%,,,,,,,,,,,,,
For Eq,0.85,1,0.8,0.65,0.6,0.6,0.35,0.15,0.4,0,0.2,0.1,0,SD[Portfolio Return],7.69%,,,,,,,,,,,,,
Em Mkt,0.75,0.8,1,0.6,0.6,0.6,0.4,0.2,0.4,-0.1,0,0,0,,,,,,,,,,,,,,,
Private Eq,0.8,0.65,0.6,1,0.6,0.6,0.15,0.1,0.2,0,0.1,0.1,0,Sharpe Ratio,0.59,,,,,,,,,,,,,
Ab Ret,0.6,0.6,0.6,0.6,1,0.7,0.1,0.1,0.2,0.2,0.2,0.2,0,*Use a risk-free rate of 1%,,,,,,,,,,,,,,
HY,0.6,0.6,0.6,0.6,0.7,1,0.2,0.1,0.2,0.1,0.2,0.2,0,,,,,,,,,,,,,,,
Comm,0.3,0.35,0.4,0.15,0.1,0.2,1,0.1,0,0.1,0.1,0.4,0,,,,,,,,,,,,,,,
Nat Res,0.1,0.15,0.2,0.1,0.1,0.1,0.1,1,0.1,0,0.1,0,0,,,,,,,,,,,,,,,
RE,0.4,0.4,0.4,0.2,0.2,0.2,0,0.1,1,0,0.2,0.2,0,,,,,,,,,,,,,,,
Dom Bonds,0,0,-0.1,0,0.2,0.1,0.1,0,0,1,0.7,0.6,0,,,,,,,,,,,,,,,
For Bonds,0,0.2,0,0.1,0.2,0.2,0.1,0.1,0.2,0.7,1,0.5,0,,,,,,,,,,,,,,,
IF Bonds,0.15,0.1,0,0.1,0.2,0.2,0.4,0,0.2,0.6,0.5,1,0,,,,,,,,,,,,,,,
Cash,0,0,0,0,0,0,0,0,0,0,0,0,1,,Assumed Cash doesnt have any correlation with other assets,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dom Eq,For Eq,Em Mkt,Private Eq,Ab Ret,HY,Comm,Nat Res,RE,Dom Bonds,For Bonds,IF Bonds,Cash,,,,,,,,,,,,,,,
Real Ret,0.0575,0.0625,0.07,0.0675,0.05,0.0475,0.045,0.05,0.06,0.0175,0.0225,0.0225,1%,rf,,,,,,,,,,,,,,
Risk,0.155,0.16,0.19,0.2,0.11,0.14,0.21,0.1,0.15,0.055,0.058,0.051,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Sum of Weights,,,,,,,,,,,,,,
Weights,-22%,13%,-11%,14%,37%,-5%,9%,45%,28%,3%,-23%,8%,3%,100%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Covariances:,=B2*B$18*$N26,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"(corr(1,2)*sd1*sd2)",Dom Eq,For Eq,Em Mkt,Private Eq,Ab Ret,HY,Comm,Nat Res,RE,Dom Bonds,For Bonds,IF Bonds,Cash,Std Dev,,,,,,,,,,,,,,
Dom Eq,0.024025,0.02108,0.0220875,0.0248,0.01023,0.01302,0.009765,0.00155,0.0093,0,0,0.00118575,0,0.155,=b18,,,,,,,,,,,,,
For Eq,0.02108,0.0256,0.02432,0.0208,0.01056,0.01344,0.01176,0.0024,0.0096,0,0.001856,0.000816,0,0.16,=c18,,,,,,,,,,,,,
Em Mkt,0.0220875,0.02432,0.0361,0.0228,0.01254,0.01596,0.01596,0.0038,0.0114,-0.001045,0,0,0,0.19,etc.,,,,,,,,,,,,,
Private Eq,0.0248,0.0208,0.0228,0.04,0.0132,0.0168,0.0063,0.002,0.006,0,0.00116,0.00102,0,0.2,,,,,,,,,,,,,,
Ab Ret,0.01023,0.01056,0.01254,0.0132,0.0121,0.01078,0.00231,0.0011,0.0033,0.00121,0.001276,0.001122,0,0.11,,,,,,,,,,,,,,
HY,0.01302,0.01344,0.01596,0.0168,0.01078,0.0196,0.00588,0.0014,0.0042,0.00077,0.001624,0.001428,0,0.14,,,,,,,,,,,,,,
Comm,0.009765,0.01176,0.01596,0.0063,0.00231,0.00588,0.0441,0.0021,0,0.001155,0.001218,0.004284,0,0.21,,,,,,,,,,,,,,
Nat Res,0.00155,0.0024,0.0038,0.002,0.0011,0.0014,0.0021,0.01,0.0015,0,0.00058,0,0,0.1,,,,,,,,,,,,,,
RE,0.0093,0.0096,0.0114,0.006,0.0033,0.0042,0,0.0015,0.0225,0,0.00174,0.00153,0,0.15,,,,,,,,,,,,,,
Dom Bonds,0,0,-0.001045,0,0.00121,0.00077,0.001155,0,0,0.003025,0.002233,0.001683,0,0.055,,,,,,,,,,,,,,
For Bonds,0,0.001856,0,0.00116,0.001276,0.001624,0.001218,0.00058,0.00174,0.002233,0.003364,0.001479,0,0.058,,,,,,,,,,,,,,
